Question_ID,Question_Sentence,Question_Good,Question_Bad
Question_001,ウホッ。まずはそちの自己紹介を聞かせてほしいウホ。,"Simple, Honesty","Skilled, Joke, Fake, Complex, A, Way, Chuuni"
Question_002,そちのこれまでの『群れでの経歴』について教えてほしいウホ。,"Courtesy, Honesty","Skilled, Fake, Joke, A, Way, Chuuni, Rude"
Question_003,そちの人類としての強みと弱みは何ウホ？ ,"Etiquette, Honesty","Skilled, Joke, Fake, Complex, A, Way, Chuuni, Rude"
Question_004,なぜ住み慣れた前の縄張りを離れ、新しいジャー……仕事に移ろうと思ったウホ？,"Simple, Honesty","Fake, Joke, Complex, A, Way"
Question_005,ここでそちの『力』を自由にアピールしてほしいウホ！,"Punch, Skilled, Chuuni","Fake, Simple, A, Joke"
Question_006,数あるジャングルの中で、なぜ我が社の群れに入りたいと思ったウホ？,"Honesty, Punch, Etiquette","Complex, Courtesy, A, Way, Chuuni, Rude"
Question_007,我が社の群れに入った後、どんなゴリラを目指しているウホ？ ,"Simple, Honesty, Etiquette","A, Joke, Fake, Complex, Rude"
Question_008,年間バナナ何本希望か？いつから我が社の縄張りに合流できるか、希望を教えてほしいウホ。,"Simple, Etiquette","A, Joke, Fake, Complex, Chuuni, Rude"
Question_009,そちが群れの中で生きる上で、一番モットーにしていることは何ウホ？,"Punch, Honesty, Etiquette","A, Joke, Courtesy, Fake, Chuuni, Rude"
Question_010,これまでの人生の中で、最もデカい成果は何ウホ？ ,"Fake, Skilled, Punch","A, Joke, Complex, Chuuni, Rude"
Question_011,ほかに面接を受けているジャングルや、目を浸けている群れは他にあるウホ？,"Fake, Courtesy, Etiquette","A, Joke, Punch, Chuuni, Rude"
Question_012,学生時代に、一番エネルギーを注いだことは何ウホ？ ,"Punch, Honesty","A, Joke, Fake, Complex, Chuuni, Rude"
Question_013,最後に、そちから我が社の群れに対して、何か聞いておきたいことがあるウホ？,"Honesty, Etiquette, Courtesy, Punch","A, Joke, Chuuni, Rude"
Question_014,まずは君が現世での偽名と、これまでどのような境界を渡り歩いてきたのかをな……。,"Chuuni, Courtesy, Fake","Way, Joke, A, Complex"
Question_015,君がこれまでに潜り抜けてきた戦場の軌跡を聞かせてもらおう。,"Chuuni, Courtesy, Punch, Fake","Way, Joke, A, Complex"
Question_016,他者を圧倒する独自の強みと、その力を解放する代償として科せられた弱みを、私に開示せよ。,"Courtesy, Simple, Honesty","Way, Joke, A, Simple"
Question_017,なぜ前の職場を抜け出し、他の組織の門を叩いた？,"Chuuni, Courtesy, Complex, Skilled","Way, Joke, A, Rude"
Question_018,君という存在がいかに我が組織にイノベーションをもたらすか、その価値を示してみせろ！,"Chuuni, Punch, Skilled","Way, Joke, A, Fake"
Question_019,君の魂は、我が組織のどのような理念に共鳴したというのだ？,"Chuuni, Courtesy","Way, Joke, A"
Question_020,この先、君はどのような『未来の因果線』を描いている？,"Chuuni, Courtesy, Rude","Way, Joke, A, Inept"
Question_021,君が求める『等価交換の対価』と、君の魔力が完全に満ちて我が軍に合流できる日を提示するがいい。,"Chuuni, Courtesy","Way, Joke, A, Inept"
Question_022,君がこの過酷な世界で任務を遂行する際、決して曲げぬ『絶対の戒律』とは何だ？,"Chuuni, Courtesy","Way, Joke, A, Inept, Etiquette"
Question_023,これまでの生涯で、君が成し遂げた『最大の神話』を語れ。,"Chuuni, Courtesy, Skilled","Way, Joke, A, Inept, Punch"
Question_024,我が組織のほかに、君のその異能に目をつけ、勧誘の魔手を伸ばしてきている組織は存在するのか？,"Chuuni, Courtesy","Way, Joke, A, Etiquette"
Question_025,あの平穏な学生時代にいた頃、君は何の修練にその若き命の灯火を燃やしていたのだ？,"Chuuni, Courtesy, Punch","Way, Joke, A, Punch"
Question_026,最後に、我が組織の深淵について何か覗き見たい黒闇はあるか？,"Chuuni, Courtesy","Way, Joke, A, Inept"
Question_027,自己紹介をお願いします。,"Courtesy, Skilled, Etiquette","A, Punch, Rude, Chuuni, Way"
Question_028,職歴について聞かせてください。,"Courtesy, Skilled, Complex","A, Punch, Rude, Chuuni, Way"
Question_029,あなたの強みと弱みは何ですか。,"Courtesy, Skilled, Fake","A, Punch, Rude, Chuuni, Way"
Question_030,転職する理由は何ですか。,"Courtesy, Skilled, Fake, Complex","A, Punch, Rude, Chuuni, Way"
Question_031,自己PRをどうぞ。,"Courtesy, Skilled, Honesty","A, Punch, Rude, Chuuni, Way, Complex, Fake"
Question_032,弊社を志望した理由は何ですか。,"Courtesy, Skilled, Honesty, Etiquette","A, Punch, Rude, Chuuni, Way"
Question_033,キャリアビジョンはどのようなイメージをしていますか。,"Courtesy, Honesty","A, Punch, Rude, Chuuni, Way"
Question_034,給料や入社日の希望を教えてください。,"Courtesy, Fake","A, Punch, Rude, Chuuni, Way"
Question_035,仕事をする上で大切にしていることは何ですか。,"Courtesy, Skilled, Simple","A, Punch, Rude, Chuuni, Way"
